n_points_per_county,n_counties,n_time_periods,n_components,mu1,defRt1,defRtMid,defRtLast,prY11,prY22
100,100,4,2,90,4,10,20,90,80
500,100,4,2,90,4,10,20,90,80
1000,100,4,2,90,4,10,5,90,80
1000,100,4,2,90,4,10,10,90,80
1000,100,4,2,90,4,10,15,90,80
1000,100,4,2,90,4,10,20,90,80
1000,100,4,2,90,4,10,25,90,80
1000,100,4,2,90,4,10,30,90,80
1000,100,4,2,90,4,10,35,90,80
1000,100,4,2,90,4,10,40,90,80
1000,100,5,2,90,4,10,20,90,80
1000,100,6,2,90,4,10,20,90,80
1000,100,4,2,90,4,10,20,75,80
1000,100,4,2,90,4,10,20,80,80
1000,100,4,2,90,4,10,20,95,80
10000,100,4,2,90,4,10,20,90,80
